Date;Machine;Bird ID;Mass Tissue;OB Chamber;Baseline;Oligo;CCCP;AA;Routine;OxPhos;Leak;ETS;FCR1;FCR2;FCR3;Routine/mg;OxPhops/mg;Leak/mg;ETS/mg;AA/mg;Batch 
28.05.23;P2;C4A1920;19,87;B;27,5726;18,9764;31,9517;4,6225;22,9501;8,5962;14,3539;27,3292;0,625439541;0,525222107;0,839764794;1,155012582;0,432622043;0,722390539;1,375400101;0,232637141;1
28.05.23;P1;C4A1921;13,77;A;24,3305;17,6634;27,0579;5,5415;18,789;6,6671;12,1219;21,5164;0,645159402;0,563379562;0,873240877;1,364488017;0,484175744;0,880312273;1,562556282;0,402432825;1
28.05.23;P1;C4A1919;11,6;B;15,8948;13,4619;17,6789;5,0279;10,8669;2,4329;8,434;12,651;0,776118304;0,666666667;0,858975575;0,936801724;0,209732759;0,727068966;1,090603448;0,433439655;1
28.05.23;P2;C4A1922;25,27;A;36,7988;24,5037;48,0549;6,9268;29,872;12,2951;17,5769;41,1281;0,588407204;0,427369609;0,726316071;1,182113178;0,486549268;0,69556391;1,627546498;0,274111595;1
29.05.23;P2; ;12,74;A;21,8195;16,8841;24,2006;4,0695;17,75;4,9354;12,8146;20,1311;0,721949296;0,636557366;0,881720323;1,393249608;0,387394035;1,005855573;1,580149137;0,319427002;2
29.05.23;P2;C4A1036;13,5;B;26,1128;17,9222;30,9786;3,5682;22,5446;8,1906;14,354;27,4104;0,636693488;0,523669848;0,822483437;1,66997037;0,606711111;1,063259259;2,0304;0,264311111;2
29.05.23;P1;C4A1038;7,77;A;20,3476;16,0183;19,4384;3,7232;16,6244;4,3293;12,2951;15,7152;0,739581579;0,782369935;1,057854816;2,13956242;0,557181467;1,582380952;2,022548263;0,479176319;2
29.05.23;P1;C4A1023;17,07;B;27,0049;19,1386;30,492;5,1901;21,8148;7,8663;13,9485;25,3019;0,639405358;0,55128271;0,862180311;1,277961336;0,460826011;0,817135325;1,482243702;0,304048037;2
29.05.23;P2;C4A1024;10,5;A;23,4646;17,1439;27,7939;3,8963;19,5683;6,3207;13,2476;23,8976;0,676992892;0,554348554;0,818839549;1,863647619;0,601971429;1,26167619;2,275961905;0,37107619;2
29.05.23;P2;C4A1047;16,56;B;18,4087;14,354;19,7874;4,5414;13,8673;4,0547;9,8126;15,246;0,707607104;0,643617998;0,909569723;0,837397343;0,244849034;0,592548309;0,920652174;0,27423913;2
29.05.23;P1;C4A1048;19,78;A;18,5293;14,6329;20,3476;5,1951;13,3342;3,8964;9,4378;15,1525;0,707788994;0,622854314;0,88;0,674125379;0,196986855;0,477138524;0,766051567;0,262644085;2
29.05.23;P1;C4A1050;5,94;B;14,5161;13,6241;20,7605;4,1359;10,3802;0,892;9,4882;16,6246;0,914067166;0,570732529;0,624387955;1,747508418;0,15016835;1,597340067;2,798754209;0,696279461;2
29.05.23;P2;C4A1013;19,62;A;22,8585;18,3561;27,7506;6,1476;16,7109;4,5024;12,2085;21,603;0,730571064;0,565129843;0,773545341;0,851727829;0,229480122;0,622247706;1,101070336;0,313333333;2
